@RELATION sys_attack
@ATTRIBUTE POS_ONE REAL
@ATTRIBUTE POS_TWO REAL
@ATTRIBUTE POS_THREE REAL
@ATTRIBUTE class {attack, normal}
@DATA
6,6,63,normal
6,63,6,normal
63,6,42,normal
6,42,120,normal
42,120,6,normal
120,6,195,normal
6,195,120,normal
195,120,6,normal
120,6,6,normal
6,6,114,normal
6,114,114,normal
114,114,1,normal
114,1,1,normal
1,1,252,normal
1,252,252,normal
252,252,252,normal
252,252,1,normal
252,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,252,normal
1,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,1,normal
252,1,1,normal
1,1,252,normal
1,252,1,normal
252,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,252,normal
1,252,1,normal
252,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,252,normal
1,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,1,normal
252,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,252,normal
1,252,1,normal
252,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,252,normal
1,252,1,normal
252,1,252,normal
1,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,1,normal
252,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,252,normal
1,252,252,normal
252,252,1,normal
252,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,252,normal
1,252,252,normal
252,252,252,normal
252,252,1,normal
252,1,252,normal
1,252,1,normal
252,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,252,normal
1,252,1,normal
252,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,252,normal
1,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,1,normal
252,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,252,normal
1,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,1,normal
252,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,252,normal
1,252,252,normal
252,252,252,normal
252,252,1,normal
252,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,252,normal
1,252,1,normal
252,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,252,normal
1,252,1,normal
252,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,252,normal
1,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,1,normal
252,1,1,normal
1,1,252,normal
1,252,1,normal
252,1,252,normal
1,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,252,normal
252,252,1,normal
252,1,1,normal
1,1,252,normal
1,252,252,normal
252,252,252,normal
252,252,1,normal
252,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,252,normal
1,252,1,normal
252,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,252,normal
1,252,1,normal
252,1,1,normal
1,1,252,normal
1,252,1,normal
252,1,1,normal
1,1,252,normal
1,252,1,normal
252,1,1,normal
1,1,252,normal
1,252,252,normal
252,252,1,normal
252,1,1,normal
1,1,1,normal
1,1,1,normal
1,1,1,normal
