@RELATION sys_attack
@ATTRIBUTE POS_ONE REAL
@ATTRIBUTE POS_TWO REAL
@ATTRIBUTE POS_THREE REAL
@ATTRIBUTE class {attack, normal}
@DATA
265,168,168,attack
168,168,265,attack
168,265,168,attack
265,168,168,attack
168,168,168,attack
168,168,265,attack
168,265,168,attack
265,168,265,attack
168,265,168,attack
265,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,102,attack
168,102,168,attack
102,168,265,attack
168,265,265,attack
265,265,168,attack
265,168,168,attack
168,168,168,attack
168,168,265,attack
168,265,265,attack
265,265,168,attack
265,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,265,attack
168,265,102,attack
265,102,265,attack
102,265,265,attack
265,265,168,attack
265,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,265,attack
168,265,168,attack
265,168,168,attack
168,168,265,attack
168,265,102,attack
265,102,168,attack
102,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,265,attack
168,265,168,attack
265,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,265,attack
168,265,168,attack
265,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,265,attack
168,265,265,attack
265,265,265,attack
265,265,168,attack
265,168,265,attack
168,265,168,attack
265,168,265,attack
168,265,168,attack
265,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,265,attack
168,265,168,attack
265,168,265,attack
168,265,168,attack
265,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,102,attack
168,102,168,attack
102,168,265,attack
168,265,265,attack
265,265,168,attack
265,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,265,attack
168,265,168,attack
265,168,168,attack
168,168,265,attack
168,265,265,attack
265,265,168,attack
265,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,265,attack
168,265,265,attack
265,265,168,attack
265,168,168,attack
168,168,168,attack
168,168,265,attack
168,265,168,attack
265,168,265,attack
168,265,168,attack
265,168,168,attack
168,168,265,attack
168,265,265,attack
265,265,265,attack
265,265,265,attack
265,265,265,attack
265,265,168,attack
265,168,168,attack
168,168,265,attack
168,265,168,attack
265,168,265,attack
168,265,168,attack
265,168,168,attack
168,168,168,attack
168,168,265,attack
168,265,168,attack
265,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,265,attack
168,265,168,attack
265,168,265,attack
168,265,168,attack
265,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,265,attack
168,265,168,attack
265,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,265,attack
168,265,168,attack
265,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,265,attack
168,265,102,attack
265,102,168,attack
102,168,265,attack
168,265,168,attack
265,168,168,attack
168,168,265,attack
168,265,168,attack
265,168,265,attack
168,265,265,attack
265,265,265,attack
265,265,265,attack
265,265,168,attack
265,168,265,attack
168,265,265,attack
265,265,168,attack
265,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,102,attack
168,102,265,attack
102,265,168,attack
265,168,265,attack
168,265,168,attack
265,168,265,attack
168,265,168,attack
265,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,265,attack
168,265,265,attack
265,265,168,attack
265,168,168,attack
168,168,265,attack
168,265,265,attack
265,265,265,attack
265,265,168,attack
265,168,102,attack
168,102,168,attack
102,168,265,attack
168,265,168,attack
265,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,265,attack
168,265,168,attack
265,168,168,attack
168,168,168,attack
168,168,102,attack
168,102,168,attack
102,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,265,attack
168,265,265,attack
265,265,168,attack
265,168,265,attack
168,265,168,attack
265,168,168,attack
168,168,265,attack
168,265,265,attack
265,265,265,attack
265,265,265,attack
265,265,168,attack
265,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,265,attack
168,265,168,attack
265,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,265,attack
168,265,265,attack
265,265,102,attack
265,102,168,attack
102,168,265,attack
168,265,168,attack
265,168,168,attack
168,168,265,attack
168,265,168,attack
265,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,102,attack
168,102,168,attack
102,168,168,attack
168,168,168,attack
168,168,168,attack
168,168,265,attack
168,265,168,attack
265,168,168,attack
168,168,168,attack
168,168,168,attack
